dl
format = edgelist1
n=2552
data:
reports data 1.0	
goal attacking 1.0	
not election 2.0	
police a 1.0	
thousands phone 1.0	
phone lines 4.0	
regime cairo 1.0	
th hillary 1.0	
state comments 1.0	
thought many 1.0	
were ones 1.0	
hillary almost 1.0	
intended early 1.0	
thought stay 1.0	
on-the-ground hillary 1.0	
replacing initially 1.0	
those not 1.0	
showed on-the-ground 1.0	
streets february 1.0	
end alexandria 1.0	
government appeared 1.0	
police ammunition 1.0	
protesters buildings 1.0	
millions cities 1.0	
vice refer 1.0	
february continued 1.0	
said a 3.0	
many are 2.0	
mubarak largely 1.0	
live egyptian 1.0	
government blocked 1.0	
him he 2.0	
tear government 1.0	
streets country 1.0	
his he 2.0	
demanding decades 1.0	
egypt demand 1.0	
comments activists 1.0	
government cut 1.0	
re-election not 2.0	
while dictatorship 1.0	
fire evening 1.0	
power join 1.0	
suspended data 1.0	
hillary american 1.0	
streets police 1.0	
protesters mubarak 1.0	
service much 1.0	
said policy 1.0	
cut country 1.0	
policy clinton 1.0	
there data 1.0	
took achieved 1.0	
state attacking 1.0	
january him 1.0	
street rest 1.0	
used some 2.0	
facing day 1.0	
streets clintons 1.0	
steal election 1.0	
mubarak end 3.0	
thought street 1.0	
refer called 1.0	
january interview 1.0	
policy a 3.0	
marching before 1.0	
protests down 1.0	
replacing army 1.0	
he been 1.0	
thought revolution 1.0	
say appeared 1.0	
phone hundreds 1.0	
january hillary 1.0	
hillary egypts 1.0	
th clear 1.0	
st before 1.0	
join dictator 1.0	
un station 1.0	
protests egypt 2.0	
providing phone 2.0	
people baton 1.0	
fire canisters 1.0	
street say 1.0	
protesters achieved 1.0	
reluctant hillary 1.0	
openly aid 1.0	
police attacking 1.0	
because aid 1.0	
saudi join 1.0	
took alexandria 1.0	
phone disabled 2.0	
freedom administration 1.0	
openly dictatorship 1.0	
mubarak foreign 1.0	
comments clintons 1.0	
state power 1.0	
station st 1.0	
mubarak because 1.0	
dictator are 1.0	
water tear 1.0	
with crowds 1.0	
pbs egyptian 1.0	
was administration 1.0	
where washington 1.0	
took phone 1.0	
revolution mubarak 1.0	
suspended reports 1.0	
mubarak demonstrators 1.0	
